Type of wine,Name,Winery,Country,Region,Rating,NumberOfRatings,Year,Price,Rating Price Ratio,Rating category
Red,Riserva Cannonau di Sardegna 2017,Sella & Mosca,Italy,Cannonau di Sardegna,3.8,1027,2017,10.66,0.35647279549718575,Medium
Red,60 Sessantanni Old Vines Primitivo di Manduria 2016,San Marzano,Italy,Primitivo di Manduria,4.4,1028,2016,17.24,0.2552204176334107,Low
Red,Kith & Kin Cabernet Sauvignon 2017,Round Pond Estate,United States,Napa Valley,4.2,1028,2017,38.5,0.1090909090909091,Low
Red,Zinfandel 2017,Rombauer Vineyards,United States,California,4.3,1029,2017,34.12,0.12602579132473624,Low
Red,Cerro Añon Rioja Gran Reserva 2011,Bodegas Olarra,Spain,Rioja,4.1,103,2011,14.65,0.2798634812286689,Low
Red,Bush Vine GSM (Shiraz - Grenache - Mourvedre) 2013,Geoff Merrill,Australia,McLaren Vale,4.0,103,2013,14.57,0.27453671928620454,Low
Red,Plaer Vinyes Velles 2016,Acustic Celler,Spain,Priorat,4.1,103,2016,26.18,0.15660809778456836,Low
Red,Cabernet - Shiraz 2016,Añoranza,Spain,La Mancha,3.4,103,2016,3.95,0.860759493670886,Excellent
Red,Saint-Émilion Grand Cru 2014,Château La Confession,France,Saint-Émilion Grand Cru,3.9,103,2014,26.9,0.1449814126394052,Low
Red,Comte de Sénéjac Haut-Médoc 2011,Château Sénéjac,France,Haut-Médoc,3.7,103,2011,16.83,0.21984551396316104,Low
Red,Gran Masetto Teroldego 2014,Endrizzi,Italy,Trentino,4.4,103,2014,39.9,0.11027568922305765,Low
Red,Barolo Mariondino 2015,Parusso,Italy,Barolo,4.1,103,2015,39.9,0.10275689223057644,Low
Red,Crianza 2016,Berceo,Spain,Rioja,3.6,103,2016,9.9,0.36363636363636365,Medium
Red,Apogee Pepper Bridge Vineyard 2013,L'Ecole No 41,United States,Walla Walla Valley,4.1,103,2013,46.9,0.08742004264392324,Low
Red,Gamma Red Blend 2018,Bodegas Piedemonte,Spain,Navarra,3.4,103,2018,6.15,0.5528455284552845,Medium
Red,Peyres Nobles Rouge 2018,Château Camplong,France,Corbières,4.0,103,2018,6.5,0.6153846153846154,Excellent
Red,Lemartine Toscana 2015,Poggio Antico,Italy,Toscana,4.1,103,2015,29.67,0.13818672059319176,Low
Red,Organic Cabernet 2018,Farm Hand,Australia,South Australia,3.7,103,2018,7.79,0.4749679075738126,Medium
Red,Pomerol 1999,Château Nénin,France,Pomerol,4.1,103,1999,240.0,0.017083333333333332,Low
Red,Malterdinger Alte Reben Spätburgunder 2016,Bernhard Huber,Germany,Baden,4.1,103,2016,38.69,0.1059705350219695,Low
Red,Cabernet Franc 2012,Anthonij Rupert,South Africa,Franschhoek,4.2,103,2012,59.95,0.07005838198498748,Low
